OrderItemID,OrderID,ProductID,Quantity,Price
1,280,41,3,2096.88
2,475,89,1,4218.27
3,129,33,3,3748.0
4,322,72,1,2505.29
5,508,53,4,4143.97
6,383,85,4,3697.58
7,416,66,1,4963.46
8,561,131,2,2129.64
9,595,3,4,4531.73
10,511,90,5,341.23
11,400,40,5,4633.43
12,160,130,3,2413.67
13,586,198,1,1157.18
14,57,89,2,503.37
15,532,107,2,458.16
16,408,144,5,3121.91
17,72,54,5,4348.96
18,245,68,1,3594.46
19,265,92,3,2930.72
20,34,158,5,3872.1
21,424,34,2,523.27
22,245,21,5,3302.52
23,422,50,5,3537.6
24,321,64,1,1649.42
25,569,166,4,4292.97
26,199,131,5,3258.93
27,503,15,2,4048.86
28,346,147,5,187.98
29,511,113,3,4708.09
30,331,29,4,3876.2
31,375,64,1,2568.54
32,170,52,1,271.6
33,415,181,5,2950.08
34,335,8,3,2373.72
35,161,34,4,3620.83
36,179,171,5,4242.08
37,441,153,1,2568.44
38,305,149,4,4277.0
39,175,116,1,1857.38
40,86,118,5,2626.98
41,5,5,1,3415.94
42,480,191,1,2040.41
43,170,80,2,4973.2
44,430,127,5,415.46
45,558,7,4,4805.52
46,513,78,3,3256.52
47,353,186,5,3693.19
48,5,147,5,4992.69
49,535,127,5,4933.63
50,210,99,1,1567.04
51,216,123,5,4017.0
52,289,109,5,3087.29
53,528,195,5,2318.43
54,216,4,3,2748.64
55,513,63,4,3247.29
56,473,77,4,1811.92
57,266,118,5,810.14
58,220,11,4,1348.63
59,533,124,2,3754.61
60,33,159,4,2321.44
61,376,73,5,4369.06
62,238,81,3,1678.4
63,143,86,5,795.4
64,465,198,2,2762.63
65,90,115,4,1542.89
66,43,72,1,4916.7
67,566,15,4,870.68
68,248,17,1,2535.85
69,511,10,5,4002.71
70,369,47,4,4785.78
71,271,155,2,3776.41
72,360,159,4,3106.51
73,86,79,5,1844.37
74,431,7,3,1474.37
75,228,143,4,4526.25
76,437,107,3,3551.32
77,556,5,1,3176.51
78,305,200,1,4648.28
79,300,58,5,3358.47
80,255,159,3,2500.65
81,479,176,2,2085.29
82,535,104,5,4605.56
83,556,142,5,4920.26
84,47,125,4,2612.92
85,343,155,5,4884.86
86,274,13,5,844.51
87,35,138,2,1223.88
88,518,113,2,3246.13
89,270,91,1,2936.4
90,410,38,4,1908.17
91,476,12,4,2856.88
92,573,7,5,4935.16
93,128,135,1,3485.97
94,445,169,4,4176.73
95,461,78,3,4190.29
96,319,195,3,4005.11
97,239,33,4,4846.63
98,342,193,4,4549.86
99,1,95,3,3603.51
100,192,159,5,4542.98
101,463,21,1,3884.82
102,100,31,4,2250.3
103,473,51,1,3231.15
104,552,91,5,625.95
105,557,143,4,4613.56
106,493,152,1,2012.91
107,529,145,2,931.85
108,582,113,3,3610.86
109,20,73,3,2590.46
110,347,191,2,867.39
111,367,137,3,1221.68
112,190,119,4,3860.49
113,425,88,5,1036.72
114,324,96,4,350.55
115,558,160,4,3151.54
116,217,199,4,854.88
117,468,85,4,4506.13
118,354,40,3,314.83
119,206,150,5,3761.13
120,120,135,1,2893.65
121,54,146,5,2470.9
122,119,137,5,3241.34
123,340,191,4,2864.84
124,37,197,4,1621.11
125,447,189,2,240.57
126,40,111,2,4182.07
127,377,45,2,4204.28
128,127,20,5,2563.77
129,348,185,5,4141.1
130,424,45,4,2729.22
131,302,169,2,475.77
132,207,199,5,2346.93
133,449,169,5,4916.76
134,568,180,3,2471.93
135,301,8,5,3543.94
136,433,165,5,4689.5
137,355,161,1,1403.73
138,99,26,1,4688.36
139,60,90,2,4351.89
140,360,180,5,531.07
141,289,125,3,678.34
142,436,54,3,2568.03
143,543,81,2,4408.17
144,260,12,4,1566.24
145,509,89,4,4198.3
146,282,125,4,2523.45
147,208,135,2,1659.66
148,555,111,2,1433.06
149,194,141,1,677.13
150,228,125,2,3063.89
151,322,102,2,4276.89
152,574,141,4,3675.1
153,11,168,4,3864.14
154,503,94,3,309.88
155,38,38,5,4852.9
156,576,151,2,977.91
157,474,122,1,4482.4
158,420,10,1,1911.18
159,494,41,5,2182.13
160,420,176,2,4179.42
161,514,11,3,4185.99
162,556,35,4,611.3
163,44,104,5,1156.54
164,471,9,2,2009.67
165,166,139,5,68.75
166,235,169,3,4515.31
167,178,76,4,1995.3
168,264,31,1,2540.88
169,259,178,4,374.1
170,406,152,3,912.57
171,490,179,4,2239.04
172,588,13,4,3191.45
173,341,29,3,563.09
174,210,125,1,458.92
175,385,111,4,2808.33
176,505,194,4,1368.93
177,407,55,1,4107.43
178,314,48,4,1124.55
179,33,166,1,4128.43
180,429,39,5,887.5
181,563,18,2,4865.45
182,55,175,2,4513.22
183,484,195,2,1344.92
184,302,110,1,1791.71
185,86,152,4,3347.03
186,342,9,1,2595.18
187,37,145,4,1194.08
188,356,40,1,1544.31
189,119,160,1,697.54
190,53,184,1,1948.4
191,217,167,2,2980.88
192,554,171,2,978.75
193,255,14,2,1648.23
194,454,121,3,3504.01
195,371,139,5,3368.55
196,121,109,3,3414.87
197,571,106,1,1215.74
198,269,41,3,3616.18
199,35,28,4,2909.61
200,92,155,3,4872.79
201,182,28,2,4781.04
202,135,80,1,3709.5
203,178,110,3,1446.4
204,481,15,1,4182.18
205,353,149,1,742.95
206,112,3,1,1612.49
207,227,119,2,2110.9
208,528,17,2,4223.39
209,510,83,4,522.61
210,264,76,1,1582.15
211,26,191,1,1591.55
212,237,187,3,4701.0
213,232,103,2,3359.49
214,533,149,3,3499.8
215,137,104,5,4107.64
216,178,133,1,104.6
217,32,184,4,844.72
218,353,46,5,2947.11
219,441,127,5,2799.79
220,54,54,1,775.73
221,344,136,2,2508.82
222,544,37,2,776.96
223,439,87,1,3323.67
224,448,51,2,2617.54
225,99,45,4,4828.02
226,431,19,2,4242.83
227,178,116,4,1162.8
228,342,199,1,2316.53
229,230,41,5,2102.77
230,530,109,1,4625.67
231,70,64,2,2332.92
232,67,192,1,1213.58
233,155,8,5,2754.67
234,173,117,4,690.55
235,476,67,3,195.27
236,416,59,2,389.23
237,137,153,4,99.29
238,89,22,4,1641.62
239,198,127,3,4282.78
240,68,157,3,1324.33
241,85,143,4,4401.39
242,333,20,1,4456.99
243,171,150,1,4232.12
244,371,145,4,2470.72
245,75,158,2,3912.1
246,321,156,3,3779.35
247,239,156,2,3998.82
248,180,94,4,2413.49
249,12,65,5,786.38
250,421,85,2,4951.88
251,214,98,2,1791.23
252,65,18,1,4588.34
253,381,183,5,3434.71
254,109,48,4,388.57
255,114,149,1,4391.28
256,214,57,2,94.89
257,251,153,5,2500.4
258,107,183,2,3772.6
259,374,31,2,932.95
260,428,42,1,4258.27
261,325,80,2,3977.43
262,456,134,1,2057.29
263,553,59,4,2304.86
264,333,183,2,2779.86
265,23,152,3,2687.46
266,107,134,2,3047.6
267,473,119,5,4845.55
268,285,1,2,1690.52
269,319,186,2,252.01
270,485,18,1,799.16
271,543,179,1,1405.85
272,402,177,1,4778.04
273,480,17,2,380.04
274,107,68,3,4149.05
275,103,142,4,4859.71
276,137,17,3,1386.17
277,356,133,1,3725.75
278,232,146,4,1152.88
279,334,81,5,880.52
280,534,85,2,2087.77
281,331,184,1,3690.99
282,220,21,1,569.19
283,577,13,4,1945.59
284,319,117,2,1790.59
285,282,4,1,3920.97
286,453,114,5,487.42
287,484,147,3,1863.98
288,50,180,2,2903.74
289,555,194,2,2148.73
290,526,14,5,464.29
291,124,12,3,1156.74
292,412,6,4,3986.18
293,532,57,3,767.26
294,542,75,3,4840.49
295,138,8,2,1898.07
296,392,7,3,4863.97
297,165,138,3,2737.33
298,250,122,1,3367.4
299,460,189,2,2290.15
300,88,45,3,1448.32
301,96,68,1,1660.2
302,276,34,3,619.65
303,268,16,3,3043.11
304,438,75,2,4044.51
305,279,195,2,1257.69
306,536,193,4,1031.79
307,299,176,1,1725.73
308,439,16,5,989.57
309,183,32,4,1148.15
310,379,181,4,203.25
311,485,70,4,2474.11
